FID IID FATHER_ID MOTHER_ID proband parental
21_57 21_57_0 NA NA -1.7648659 -4.2607856
21_57 21_57_1 NA NA -3.0559034 -4.2607856
21_58 21_58_0 NA NA -1.7953668 -1.489996
21_58 21_58_1 NA NA -0.871366 -1.489996
21_59 21_59_0 NA NA -1.7025329 -2.7639606
21_59 21_59_1 NA NA -1.9360565 -2.7639606
21_60 21_60_0 NA NA -2.7209823 -3.852639
21_60 21_60_1 NA NA -2.6501741 -3.852639
21_61 21_61_0 NA NA -1.4885831 -2.8685946
21_61 21_61_1 NA NA -1.8912618 -2.8685946
21_62 21_62_0 NA NA -2.8430984 -2.744232
21_62 21_62_1 NA NA -0.88597983 -2.744232
21_63 21_63_0 NA NA -1.5181458 -1.7761309
21_63 21_63_1 NA NA -0.9710268 -1.7761309
21_64 21_64_0 NA NA -0.8198786 -1.4055296
21_64 21_64_1 NA NA -1.3299117 -1.4055296
21_65 21_65_0 NA NA -0.79898584 -0.9893258
21_65 21_65_1 NA NA -0.29494438 -0.9893258
21_66 21_66_0 NA NA -0.48025313 -2.762474
21_66 21_66_1 NA NA -2.2549481 -2.762474
21_67 21_67_0 NA NA 0.79696655 -0.029686408
21_67 21_67_1 NA NA -0.2986616 -0.029686408
21_68 21_68_0 NA NA -3.010861 -4.311066
21_68 21_68_1 NA NA -2.3894167 -4.311066
21_69 21_69_0 NA NA -0.8745017 -1.3192866
21_69 21_69_1 NA NA -0.2008706 -1.3192866
21_70 21_70_0 NA NA -0.9732292 -2.598947
21_70 21_70_1 NA NA -2.235366 -2.598947
21_71 21_71_0 NA NA -1.5515314 -2.313034
21_71 21_71_1 NA NA -1.6001655 -2.313034
21_72 21_72_0 NA NA 1.312678 0.13947457
21_72 21_72_1 NA NA -1.0800905 0.13947457
21_73 21_73_0 NA NA -0.34365147 -0.25508687
21_73 21_73_1 NA NA 0.33930483 -0.25508687
21_74 21_74_0 NA NA -1.951744 -4.2748685
21_74 21_74_1 NA NA -2.5145257 -4.2748685
21_75 21_75_0 NA NA -0.37325293 -0.3063925
21_75 21_75_1 NA NA 0.1465847 -0.3063925
21_76 21_76_0 NA NA -1.8751519 -4.1723676
21_76 21_76_1 NA NA -3.1849816 -4.1723676
21_77 21_77_0 NA NA -0.6178727 -2.1126986
21_77 21_77_1 NA NA -1.7875172 -2.1126986
21_78 21_78_0 NA NA -2.5188336 -3.8569858
21_78 21_78_1 NA NA -2.1374376 -3.8569858
21_79 21_79_0 NA NA 0.48207548 -0.08466607
21_79 21_79_1 NA NA -0.19818562 -0.08466607
21_80 21_80_0 NA NA -1.8570272 -3.4593117
21_80 21_80_1 NA NA -2.3739848 -3.4593117
21_81 21_81_0 NA NA -1.6269708 -2.9457846
21_81 21_81_1 NA NA -2.0892515 -2.9457846
21_82 21_82_0 NA NA -0.8586258 -0.6315919
21_82 21_82_1 NA NA 0.7898751 -0.6315919
21_83 21_83_0 NA NA -2.3898816 -2.1763144
21_83 21_83_1 NA NA -0.79675615 -2.1763144
21_84 21_84_0 NA NA -1.7337406 -2.0980177
21_84 21_84_1 NA NA -1.5243556 -2.0980177
21_85 21_85_0 NA NA -1.2431974 -1.2768922
21_85 21_85_1 NA NA -1.3673917 -1.2768922
21_86 21_86_0 NA NA -1.0638922 -2.555989
21_86 21_86_1 NA NA -1.509776 -2.555989
21_87 21_87_0 NA NA -0.4655495 -0.7101833
21_87 21_87_1 NA NA -0.34308848 -0.7101833
21_88 21_88_0 NA NA -0.8339093 -1.9888884
21_88 21_88_1 NA NA -1.5204799 -1.9888884
21_89 21_89_0 NA NA -1.7213746 -2.7193553
21_89 21_89_1 NA NA -1.9141233 -2.7193553
21_90 21_90_0 NA NA -1.6452109 -2.3359175
21_90 21_90_1 NA NA -1.9185737 -2.3359175
21_91 21_91_0 NA NA 0.22307457 -1.1883814
21_91 21_91_1 NA NA -1.9381363 -1.1883814
21_92 21_92_0 NA NA 0.3712644 -1.7610797
21_92 21_92_1 NA NA -1.8151842 -1.7610797
21_93 21_93_0 NA NA -0.8592916 -1.783291
21_93 21_93_1 NA NA -1.5933603 -1.783291
21_94 21_94_0 NA NA -1.0010369 -1.7954441
21_94 21_94_1 NA NA -0.94015926 -1.7954441
21_95 21_95_0 NA NA -1.7550939 -1.7813113
21_95 21_95_1 NA NA 0.10187147 -1.7813113
21_96 21_96_0 NA NA -1.7301637 -3.128856
21_96 21_96_1 NA NA -2.0802338 -3.128856
21_97 21_97_0 NA NA 0.7381356 0.76634854
21_97 21_97_1 NA NA -0.51152194 0.76634854
21_98 21_98_0 NA NA -0.7494166 -1.437312
21_98 21_98_1 NA NA -1.0122536 -1.437312
21_99 21_99_0 NA NA -2.056934 -3.210513
21_99 21_99_1 NA NA -2.0369544 -3.210513
21_100 21_100_0 NA NA -0.7172054 -2.2481828
21_100 21_100_1 NA NA -2.0701342 -2.2481828
21_101 21_101_0 NA NA -1.9352766 -3.3397658
21_101 21_101_1 NA NA -2.3878314 -3.3397658
21_102 21_102_0 NA NA 0.30856198 -0.9629342
21_102 21_102_1 NA NA -1.5426983 -0.9629342
21_103 21_103_0 NA NA -2.6316245 -4.192455
21_103 21_103_1 NA NA -2.8426318 -4.192455
21_104 21_104_0 NA NA -0.6755382 -0.35663956
21_104 21_104_1 NA NA 0.0453917 -0.35663956
21_105 21_105_0 NA NA -0.38074452 -0.36596468
21_105 21_105_1 NA NA -1.0723357 -0.36596468
21_106 21_106_0 NA NA -1.7358263 -2.347691
21_106 21_106_1 NA NA -0.83387643 -2.347691
21_107 21_107_0 NA NA -1.0658423 -0.5888653
21_107 21_107_1 NA NA -0.27400297 -0.5888653
21_108 21_108_0 NA NA -3.449194 -3.6239903
21_108 21_108_1 NA NA -2.1717973 -3.6239903
21_109 21_109_0 NA NA -1.6704093 -2.7856812
21_109 21_109_1 NA NA -1.926108 -2.7856812
21_110 21_110_0 NA NA -2.5121965 -4.2361693
21_110 21_110_1 NA NA -2.696846 -4.2361693
21_111 21_111_0 NA NA 0.5334478 0.6622675
21_111 21_111_1 NA NA 0.74840266 0.6622675
21_112 21_112_0 NA NA -0.96477085 -1.2139379
21_112 21_112_1 NA NA -1.1517141 -1.2139379
21_113 21_113_0 NA NA -0.084806755 -0.304571
21_113 21_113_1 NA NA -1.3869889 -0.304571
21_114 21_114_0 NA NA -0.9303335 -1.698992
21_114 21_114_1 NA NA -1.3631076 -1.698992
21_115 21_115_0 NA NA -1.6040909 -1.8594123
21_115 21_115_1 NA NA -0.46734273 -1.8594123
21_116 21_116_0 NA NA -1.5311925 -2.8155687
21_116 21_116_1 NA NA -1.2993613 -2.8155687
21_117 21_117_0 NA NA 0.31477708 1.1843582
21_117 21_117_1 NA NA 0.8353276 1.1843582
21_118 21_118_0 NA NA 0.1401186 -1.1960597
21_118 21_118_1 NA NA -1.514365 -1.1960597
21_119 21_119_0 NA NA -0.096765436 -1.2980349
21_119 21_119_1 NA NA -1.274155 -1.2980349
21_120 21_120_0 NA NA -1.545462 -2.3897038
21_120 21_120_1 NA NA -1.194384 -2.3897038
21_121 21_121_0 NA NA -1.3981568 -1.6895397
21_121 21_121_1 NA NA -0.51829123 -1.6895397
21_122 21_122_0 NA NA -0.10185925 -0.8140718
21_122 21_122_1 NA NA -0.79396224 -0.8140718
21_123 21_123_0 NA NA -0.41382852 -1.4947999
21_123 21_123_1 NA NA -1.7893275 -1.4947999
21_124 21_124_0 NA NA -1.6805781 -1.6483158
